gdp_final,social_support,health_final,freedom_final,generosity,corruption_final,cluster
9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,1
9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,1
8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,1
8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,1
9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,1
10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1
8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,1
9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,1
10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,1
10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,1
10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,1
10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1
9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,1
9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,1
10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,1
8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,1
9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,1
8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,1
7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,1
9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061,1
8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,1
9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,1
9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501,1
8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,1
7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,1
10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,1
9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,1
9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,1
9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,1
8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,1
8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,1
8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,1
9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1
8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,1
7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,1
6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,1
8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,1
9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,1
8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,1
8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,1
9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,1
9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,1
9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181,1
9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,1
7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,1
7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,1
7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,1
8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,1
9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,1
9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,1
9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968,1
9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1
7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,1
8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1
9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,1
9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,1
7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,1
8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,1
7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,1
7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,1
9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,1
8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509,1
9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,1
6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598,1
9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338,1
8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,1
7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,1
7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,1
7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,1
7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,1
9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,1
7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,1
6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,1
8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1
7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,1
7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073,1
8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,1
7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1
7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,1
9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,1
7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,1
6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,1
